node_1,node_2,topic_name,edge,count
continuous computation,dynamic environments,"Teleo-Reactive Programs for Agent Control,Teleo-Reactive Programs for Agent Control",contextual proximity,2
continuous computation,formalism,"Teleo-Reactive Programs for Agent Control,Teleo-Reactive Programs for Agent Control",contextual proximity,2
control structures,Toast system,"Defining Relative Likelihood in Partially-Ordered Preferential   Structures,Defining Relative Likelihood in Partially-Ordered Preferential   Structures",contextual proximity,2
control structures,agent/environment interactions,"Defining Relative Likelihood in Partially-Ordered Preferential   Structures,Defining Relative Likelihood in Partially-Ordered Preferential   Structures",contextual proximity,2
control structures,conventions and invariants,"Defining Relative Likelihood in Partially-Ordered Preferential   Structures,Defining Relative Likelihood in Partially-Ordered Preferential   Structures",contextual proximity,2
control structures,lifeworld,"Defining Relative Likelihood in Partially-Ordered Preferential   Structures,Defining Relative Likelihood in Partially-Ordered Preferential   Structures,Defining Relative Likelihood in Partially-Ordered Preferential   Structures",contextual proximity,3
controllable agent,designer,"Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions",contextual proximity,4
controllable agent,expected utility maximizer,"Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions",contextual proximity,2
controllable agent,multi-agent system,"Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions",contextual proximity,2
controllable agent,partially controlled multi-agent system,"Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions","Controllable agents are agents that are directly controlled by the designer within a partially controlled multi-agent system.,contextual proximity",10
controllable agent,reinforcement learner,"Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions",contextual proximity,2
controllable agent,uncontrollable agent,"Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions",contextual proximity,8
conventional methods used in many similar systems,identifying inaccurate data,"OPUS: An Efficient Admissible Algorithm for Unordered Search,OPUS: An Efficient Admissible Algorithm for Unordered Search,OPUS: An Efficient Admissible Algorithm for Unordered Search",contextual proximity,3
conventional methods used in many similar systems,qualitative correlations among related data,"OPUS: An Efficient Admissible Algorithm for Unordered Search,OPUS: An Efficient Admissible Algorithm for Unordered Search",contextual proximity,2
conventions and invariants,Toast system,"Defining Relative Likelihood in Partially-Ordered Preferential   Structures,Defining Relative Likelihood in Partially-Ordered Preferential   Structures,Defining Relative Likelihood in Partially-Ordered Preferential   Structures,Defining Relative Likelihood in Partially-Ordered Preferential   Structures",contextual proximity,4
conventions and invariants,agent/environment interactions,"Defining Relative Likelihood in Partially-Ordered Preferential   Structures,Defining Relative Likelihood in Partially-Ordered Preferential   Structures,Defining Relative Likelihood in Partially-Ordered Preferential   Structures,Defining Relative Likelihood in Partially-Ordered Preferential   Structures",contextual proximity,4
conventions and invariants,computational simplification of activity,"Defining Relative Likelihood in Partially-Ordered Preferential   Structures,Defining Relative Likelihood in Partially-Ordered Preferential   Structures",contextual proximity,2
conventions and invariants,control structures,"Defining Relative Likelihood in Partially-Ordered Preferential   Structures,Defining Relative Likelihood in Partially-Ordered Preferential   Structures",contextual proximity,2
conventions and invariants,lifeworld,"Defining Relative Likelihood in Partially-Ordered Preferential   Structures,Defining Relative Likelihood in Partially-Ordered Preferential   Structures,Defining Relative Likelihood in Partially-Ordered Preferential   Structures,Defining Relative Likelihood in Partially-Ordered Preferential   Structures,Defining Relative Likelihood in Partially-Ordered Preferential   Structures,Defining Relative Likelihood in Partially-Ordered Preferential   Structures",contextual proximity,6
conventions and invariants,lifeworlds,"Defining Relative Likelihood in Partially-Ordered Preferential   Structures,Defining Relative Likelihood in Partially-Ordered Preferential   Structures",contextual proximity,2
cost-sensitive classification,ICET,"Pac-learning Recursive Logic Programs: Negative Results,Pac-learning Recursive Logic Programs: Negative Results,Pac-learning Recursive Logic Programs: Negative Results,Pac-learning Recursive Logic Programs: Negative Results,Pac-learning Recursive Logic Programs: Negative Results",contextual proximity,5
counterfactual reasoning,canonical form,"Logarithmic-Time Updates and Queries in Probabilistic Networks,Logarithmic-Time Updates and Queries in Probabilistic Networks,Logarithmic-Time Updates and Queries in Probabilistic Networks","Finally, we show how canonical form facilitates counterfactual reasoning.,contextual proximity",6
counting the number of records,independent of the number of records,"A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning,A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning",contextual proximity,2
counting the number of records,quick counting,"A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning,A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning",contextual proximity,2
critic,Inductive theorem provers,"Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study",contextual proximity,5
critic,computer program,"Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study",contextual proximity,15
critic,difference matching,"Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study",contextual proximity,5
critic,differences,"Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study",contextual proximity,5
critic,diverging proof attempts,"Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study",contextual proximity,10
critic,generalizations,"Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study",contextual proximity,5
critic,lemmas,"Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study",contextual proximity,5
critic,proof attempt,"Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study",contextual proximity,15
cryptographically hard to learn in Valiant's model of pac-learnability,as hard as learning boolean DNF,"Diffusion of Context and Credit Information in Markovian Models,Diffusion of Context and Credit Information in Markovian Models,Diffusion of Context and Credit Information in Markovian Models",contextual proximity,3
cryptographically hard to learn in Valiant's model of pac-learnability,learning a constant-depth determinate program with either two linear recursive clauses or one linear recursive clause and one non-recursive clause,"Diffusion of Context and Credit Information in Markovian Models,Diffusion of Context and Credit Information in Markovian Models,Diffusion of Context and Credit Information in Markovian Models",contextual proximity,3
cryptographically hard to learn in Valiant's model of pac-learnability,programs with an unbounded number of constant-depth linear recursive clauses,"Diffusion of Context and Credit Information in Markovian Models,Diffusion of Context and Credit Information in Markovian Models,Diffusion of Context and Credit Information in Markovian Models",contextual proximity,3
cryptographically hard to learn in Valiant's model of pac-learnability,programs with one constant-depth determinate clause containing an unbounded number of recursive calls,"Diffusion of Context and Credit Information in Markovian Models,Diffusion of Context and Credit Information in Markovian Models,Diffusion of Context and Credit Information in Markovian Models",contextual proximity,3
cryptographically hard to learn in Valiant's model of pac-learnability,programs with one linear recursive clause of constant locality,"Diffusion of Context and Credit Information in Markovian Models,Diffusion of Context and Credit Information in Markovian Models,Diffusion of Context and Credit Information in Markovian Models",contextual proximity,3
cue phrases may be used,discourse sense,"Characterizations of Decomposable Dependency Models,Characterizations of Decomposable Dependency Models,Characterizations of Decomposable Dependency Models",contextual proximity,3
cue phrases may be used,sentential sense,"Characterizations of Decomposable Dependency Models,Characterizations of Decomposable Dependency Models",contextual proximity,2
"custom, button-box user interface",performance system,"Software Agents: Completing Patterns and Constructing User Interfaces,Software Agents: Completing Patterns and Constructing User Interfaces",contextual proximity,2
"custom, button-box user interface",user interface,"Software Agents: Completing Patterns and Constructing User Interfaces,Software Agents: Completing Patterns and Constructing User Interfaces,Software Agents: Completing Patterns and Constructing User Interfaces",contextual proximity,3
data,approximate measure of closeness,"Bias-Driven Revision of Logical Domain Theories,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic",contextual proximity,2
data,background knowledge,"Bias-Driven Revision of Logical Domain Theories,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic",contextual proximity,2
data,database,"Bias-Driven Revision of Logical Domain Theories,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic",contextual proximity,2
data,discovering knowledge in structural data,"Bias-Driven Revision of Logical Domain Theories,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic",contextual proximity,2
data,graph,"Bias-Driven Revision of Logical Domain Theories,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic",contextual proximity,2
data,graph match,"Bias-Driven Revision of Logical Domain Theories,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic",contextual proximity,2
data,guides the search towards more appropriate substructures,"Bias-Driven Revision of Logical Domain Theories,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic",contextual proximity,2
data,hierarchical description,"Bias-Driven Revision of Logical Domain Theories,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic",contextual proximity,2
data,original data,"Bias-Driven Revision of Logical Domain Theories,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic,Bias-Driven Revision of Logical Domain Theories,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic","compresses,compresses,contextual proximity",10
data,representing structural concepts,"Bias-Driven Revision of Logical Domain Theories,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic",contextual proximity,2
data,similar instances of a substructure,"Bias-Driven Revision of Logical Domain Theories,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic",contextual proximity,2
data,substructure discovery,"Bias-Driven Revision of Logical Domain Theories,Bias-Driven Revision of Logical Domain Theories,Bias-Driven Revision of Logical Domain Theories,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic",contextual proximity,6
data,two substructures,"Bias-Driven Revision of Logical Domain Theories,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic",contextual proximity,2
data-driven learning,hand-coded symbolic grammar or symbolic semantic component,"A New Look at the Easy-Hard-Easy Pattern of Combinatorial Search   Difficulty,A New Look at the Easy-Hard-Easy Pattern of Combinatorial Search   Difficulty",contextual proximity,2
data-driven learning,screening approach,"A New Look at the Easy-Hard-Easy Pattern of Combinatorial Search   Difficulty,A New Look at the Easy-Hard-Easy Pattern of Combinatorial Search   Difficulty,A New Look at the Easy-Hard-Easy Pattern of Combinatorial Search   Difficulty",contextual proximity,3
data-driven learning,spontaneously spoken language,"A New Look at the Easy-Hard-Easy Pattern of Combinatorial Search   Difficulty,A New Look at the Easy-Hard-Easy Pattern of Combinatorial Search   Difficulty",contextual proximity,2
database,approximate measure of closeness,"Bias-Driven Revision of Logical Domain Theories,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic",contextual proximity,2
database,background knowledge,"Bias-Driven Revision of Logical Domain Theories,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic",contextual proximity,2
database,data,"Bias-Driven Revision of Logical Domain Theories,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic",contextual proximity,2
database,discovering knowledge in structural data,"Bias-Driven Revision of Logical Domain Theories,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic",contextual proximity,2
database,graph,"Bias-Driven Revision of Logical Domain Theories,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic",contextual proximity,2
database,graph match,"Bias-Driven Revision of Logical Domain Theories,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic",contextual proximity,2
database,guides the search towards more appropriate substructures,"Bias-Driven Revision of Logical Domain Theories,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic",contextual proximity,2
database,hierarchical description,"Bias-Driven Revision of Logical Domain Theories,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic",contextual proximity,2
database,original data,"Bias-Driven Revision of Logical Domain Theories,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic",contextual proximity,2
database,representing structural concepts,"Bias-Driven Revision of Logical Domain Theories,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic",contextual proximity,2
database,similar instances of a substructure,"Bias-Driven Revision of Logical Domain Theories,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic",contextual proximity,2
database,substructure discovery,"Bias-Driven Revision of Logical Domain Theories,Bias-Driven Revision of Logical Domain Theories,Bias-Driven Revision of Logical Domain Theories,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic",contextual proximity,6
database,two substructures,"Bias-Driven Revision of Logical Domain Theories,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic",contextual proximity,2
decision tree,ICET,"Pac-learning Recursive Logic Programs: Negative Results,Pac-learning Recursive Logic Programs: Negative Results,Pac-learning Recursive Logic Programs: Negative Results,Pac-learning Recursive Logic Programs: Negative Results,Pac-learning Recursive Logic Programs: Negative Results",contextual proximity,5
decision-making procedures,different decision-making procedures,Cue Phrase Classification Using Machine Learning,availability in Cassandra,4
decision-theoretic primitives,canonical form,"Logarithmic-Time Updates and Queries in Probabilistic Networks,Logarithmic-Time Updates and Queries in Probabilistic Networks",contextual proximity,2
decision-tree learning algorithms,default strategy,Learning the Past Tense of English Verbs: The Symbolic Pattern   Associator vs. Connectionist Models,we discuss a new default strategy for decision-tree learning algorithms.,4
decomposable dependency models,graphical models,"Flaw Selection Strategies for Partial-Order Planning,Flaw Selection Strategies for Partial-Order Planning,Flaw Selection Strategies for Partial-Order Planning","Our results also briefly discuss a potential application of the new characterizations to the problem of learning graphical models from data.,contextual proximity",6
decomposable dependency models,independence relationships,"Flaw Selection Strategies for Partial-Order Planning,Flaw Selection Strategies for Partial-Order Planning,Flaw Selection Strategies for Partial-Order Planning","Decomposable dependency models possess a number of interesting and useful properties. These properties are characterized by adding a single axiom to the well-known set characterizing dependency models isomorphic to undirected graphs, resulting in new characterizations in terms of independence relationships.,contextual proximity",6
deeply structured symbolic analysis,hand-coded symbolic grammar or symbolic semantic component,"A New Look at the Easy-Hard-Easy Pattern of Combinatorial Search   Difficulty,A New Look at the Easy-Hard-Easy Pattern of Combinatorial Search   Difficulty",contextual proximity,2
deeply structured symbolic analysis,screening approach,"A New Look at the Easy-Hard-Easy Pattern of Combinatorial Search   Difficulty,A New Look at the Easy-Hard-Easy Pattern of Combinatorial Search   Difficulty,A New Look at the Easy-Hard-Easy Pattern of Combinatorial Search   Difficulty",contextual proximity,3
deeply structured symbolic analysis,spontaneously spoken language,"A New Look at the Easy-Hard-Easy Pattern of Combinatorial Search   Difficulty,A New Look at the Easy-Hard-Easy Pattern of Combinatorial Search   Difficulty",contextual proximity,2
default reasoning,logic of relative likelihood,"Incremental Recompilation of Knowledge,Incremental Recompilation of Knowledge",contextual proximity,2
degrees of freedom analysis,efficiently solving the problem of finding the configuration of a collection of geometric bodies to satisfy given constraints by symbolically reasoning about geometry,Mechanisms for Automated Negotiation in State Oriented Domains,recently suggested approach,4
delayed reinforcement,learning from delayed reinforcement,Spatial Aggregation: Theory and Applications,"the central issues of reinforcement learning, including learning from delayed reinforcement, are discussed in this paper.",4
delayed-commitment,FLECS,"Improving Connectionist Energy Minimization,Improving Connectionist Energy Minimization",contextual proximity,2
delayed-commitment,difficult goal interactions,"Improving Connectionist Energy Minimization,Improving Connectionist Energy Minimization",contextual proximity,2
delayed-commitment,eager-commitment,"Improving Connectionist Energy Minimization,Improving Connectionist Energy Minimization,Improving Connectionist Energy Minimization","FLECS can use any strategy from delayed-commitment to eager-commitment.,contextual proximity",6
delayed-commitment,eager-commitment planners,"Improving Connectionist Energy Minimization,Improving Connectionist Energy Minimization",contextual proximity,2
delayed-commitment,efficient planning strategies,"Improving Connectionist Energy Minimization,Improving Connectionist Energy Minimization",contextual proximity,2
delayed-commitment,least-commitment planners,"Improving Connectionist Energy Minimization,Improving Connectionist Energy Minimization",contextual proximity,2
delayed-commitment,planning algorithm,"Improving Connectionist Energy Minimization,Improving Connectionist Energy Minimization",contextual proximity,2
delayed-commitment,planning domains and problems,"Improving Connectionist Energy Minimization,Improving Connectionist Energy Minimization",contextual proximity,2
delayed-commitment,planning problems,"Improving Connectionist Energy Minimization,Improving Connectionist Energy Minimization",contextual proximity,2
delayed-commitment,planning strategy,"Improving Connectionist Energy Minimization,Improving Connectionist Energy Minimization,Improving Connectionist Energy Minimization","The common belief is that delayed-commitment is the 'best' possible planning strategy due to evidence in handling planning problems with difficult goal interactions.,contextual proximity",6
dependency-directed backtracking,useful control information,Dynamic Backtracking,The technique developed is a variant of dependency-directed backtracking that uses only polynomial space while still providing useful control information and retaining the completeness guarantees provided by earlier approaches.,4
description graphs,CLASSIC,"Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text,Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text",contextual proximity,2
description graphs,CLASSIC descriptions,"Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text,Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text",contextual proximity,2
description graphs,algorithm that is incomplete with respect to,"Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text,Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text",contextual proximity,2
description graphs,description logics,"Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text,Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text",contextual proximity,2
description graphs,individuals,"Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text,Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text",contextual proximity,2
description graphs,"standard, model-theoretic semantics for description logics","Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text,Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text,Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text,Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text,Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text","The soundness and completeness of the polynomial-time subsumption algorithm is established using description graphs, which are an abstracted version of the implementation structures used in CLASSIC, and are of independent interest. This variant semantics for descriptions with respect to which the current implementation is complete, and which can be independently motivated.,contextual proximity",8
description graphs,subsumption algorithm,"Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text,Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text,Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text","The soundness and completeness of the polynomial-time subsumption algorithm is established using description graphs, which are an abstracted version of the implementation structures used in CLASSIC, and are of independent interest.,contextual proximity",6
description logics,CLASSIC,Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text,CLASSIC is a description logic-based knowledge representation system that is being used in practical applications.,4
description logics,description graphs,"Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text,Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text",contextual proximity,2
description logics,"standard, model-theoretic semantics for description logics","Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text,Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text",contextual proximity,2
designer,controllable agent,"Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions","The designer directly controls the behavior of controllable agents in a partially controlled multi-agent system.,contextual proximity",8
designer,expected utility maximizer,"Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions",contextual proximity,2
designer,multi-agent system,"Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions",contextual proximity,2
designer,partially controlled multi-agent system,"Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions",contextual proximity,6
designer,reinforcement learner,"Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions",contextual proximity,2
designer,uncontrollable agent,"Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions,Learning First-Order Definitions of Functions","The designer influences the behavior of uncontrollable agents in a partially controlled multi-agent system through appropriate design of the controlled agents.,contextual proximity",12
desirable TKRS-deduction services,ALCNR-knowledge bases,Decidable Reasoning in Terminological Knowledge Representation Systems,"A number of desirable TKRS-deduction services, like satisfiability, subsumption, and instance checking, are decidable for reasoning in ALCNR-knowledge bases.",4
desirable TKRS-deduction services,inclusion statements,"Decidable Reasoning in Terminological Knowledge Representation Systems,Decidable Reasoning in Terminological Knowledge Representation Systems",contextual proximity,2
deterministic efficient optimal strategy,maxmin criterion,Integrative Windowing,"In the imperfect monitoring case, it is proven that a deterministic efficient optimal strategy exists under the maxmin criterion.",4
difference matching,computer program,"Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study",contextual proximity,3
difference matching,critic,"Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study",contextual proximity,5
difference matching,diverging proof attempts,"Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study",contextual proximity,2
difference matching,proof attempt,"Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study",contextual proximity,3
differences,computer program,"Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study",contextual proximity,3
differences,critic,"Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study",contextual proximity,5
differences,diverging proof attempts,"Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study",contextual proximity,2
differences,proof attempt,"Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study","ripples,contextual proximity",7
"differing, incomplete, and possibly inconsistent views of their environment",STEAM,"Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics",contextual proximity,4
"differing, incomplete, and possibly inconsistent views of their environment",STEAM's central hypothesis,"Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics",contextual proximity,2
"differing, incomplete, and possibly inconsistent views of their environment",joint intentions,"Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics",contextual proximity,3
"differing, incomplete, and possibly inconsistent views of their environment",team members,"Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics",contextual proximity,3
difficult goal interactions,delayed-commitment,"Improving Connectionist Energy Minimization,Improving Connectionist Energy Minimization",contextual proximity,2
difficult problem instances,underconstrained/overconstrained problems,Iterative Optimization and Simplification of Hierarchical Clusterings,"displaying the same phase transition behavior, and at the same location, as seen in many previously studied classical search methods.",4
