node_1,node_2,topic_name,count,edge
Speedup learning,Explanation-Based Learning (EBL),"Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning",2,contextual proximity
Speedup learning,Macro-operator learning,"Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning",2,contextual proximity
Speedup learning,Problem solving with experience,"Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning",2,contextual proximity
Speedup learning,Random problems and their solutions,"Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning",2,contextual proximity
Speedup learning,Speedup learning framework,"Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning",10,contextual proximity
Speedup learning,Symbolic integration,"Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning",2,contextual proximity
Speedup learning framework,Eight Puzzle,"Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning",5,contextual proximity
Speedup learning framework,Empirical learning of control rules,"Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning",5,contextual proximity
Speedup learning framework,Explanation-Based Learning (EBL),"Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning",5,contextual proximity
Speedup learning framework,Macro-operator learning,"Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning",5,contextual proximity
Speedup learning framework,Problem solving with experience,"Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning",5,contextual proximity
Speedup learning framework,Random problems and their solutions,"Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning",5,contextual proximity
Speedup learning framework,Speedup learning,"Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning",10,contextual proximity
Speedup learning framework,Symbolic integration,"Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning",5,contextual proximity
Symbolic integration,Speedup learning,"Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning",2,contextual proximity
Symbolic integration,Speedup learning framework,"Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning",5,contextual proximity
Symmetric networks,Uniform algorithm,"Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning",3,contextual proximity
T-R programs,autonomous agents,"Teleo-Reactive Programs for Agent Control,Teleo-Reactive Programs for Agent Control,Teleo-Reactive Programs for Agent Control,Teleo-Reactive Programs for Agent Control,Teleo-Reactive Programs for Agent Control,Teleo-Reactive Programs for Agent Control",6,contextual proximity
T-R programs,compact circuitry,"Teleo-Reactive Programs for Agent Control,Teleo-Reactive Programs for Agent Control,Teleo-Reactive Programs for Agent Control",3,contextual proximity
T-R programs,continuous computation,"Teleo-Reactive Programs for Agent Control,Teleo-Reactive Programs for Agent Control,Teleo-Reactive Programs for Agent Control",3,contextual proximity
T-R programs,dynamic environments,"Teleo-Reactive Programs for Agent Control,Teleo-Reactive Programs for Agent Control,Teleo-Reactive Programs for Agent Control,Teleo-Reactive Programs for Agent Control,Teleo-Reactive Programs for Agent Control,Teleo-Reactive Programs for Agent Control",6,contextual proximity
T-R programs,formalism,"Teleo-Reactive Programs for Agent Control,Teleo-Reactive Programs for Agent Control,Teleo-Reactive Programs for Agent Control,Teleo-Reactive Programs for Agent Control,Teleo-Reactive Programs for Agent Control,Teleo-Reactive Programs for Agent Control",6,contextual proximity
T-R programs,intuitive and easy to write,"Teleo-Reactive Programs for Agent Control,Teleo-Reactive Programs for Agent Control,Teleo-Reactive Programs for Agent Control",3,contextual proximity
T-R programs,run time construction,"Teleo-Reactive Programs for Agent Control,Teleo-Reactive Programs for Agent Control,Teleo-Reactive Programs for Agent Control",3,contextual proximity
T-R programs,teleo-reactive (T-R) programs,"Teleo-Reactive Programs for Agent Control,Teleo-Reactive Programs for Agent Control,Teleo-Reactive Programs for Agent Control",3,contextual proximity
T-complete expansions,T-implication,"Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences",2,contextual proximity
T-complete expansions,inductive learning,"Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences",3,contextual proximity
T-complete expansions,inductive learning systems,"Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences",2,contextual proximity
T-implication,T-complete expansions,"Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences",2,contextual proximity
T-implication,clausal representation of knowledge,"Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences",2,contextual proximity
T-implication,clauses,"Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences",2,contextual proximity
T-implication,expansions,"Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences",2,contextual proximity
T-implication,generalization,"Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences",2,contextual proximity
T-implication,implication,"Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences",2,contextual proximity
T-implication,induction,"Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences",2,contextual proximity
T-implication,inductive learning,"Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences",6,contextual proximity
T-implication,inductive learning systems,"Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences",4,contextual proximity
T-implication,learning recursive clauses,"Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences",2,contextual proximity
T-implication,logical implication,"Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences",2,contextual proximity
T-implication,machine learning,"Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences",2,contextual proximity
T-implication,non-tautological clauses,"Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences",2,contextual proximity
T-implication,recursive clauses,"Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences",2,contextual proximity
T-implication,theta-subsumption,"Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences",2,contextual proximity
TD methods,Arbitrary lambda,"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",2,contextual proximity
TD methods,Discounted sum of rewards,"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",2,contextual proximity
TD methods,Lambda,"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",2,contextual proximity
TD methods,Lambda &gt 0,"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",2,contextual proximity
TD methods,Multi-step prediction problems,"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",2,contextual proximity
TD methods,Reinforcement learning algorithms,"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",4,contextual proximity
TD methods,TD(lambda),"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",2,contextual proximity
TD methods,TTD,"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",4,contextual proximity
TD methods,Temporal difference methods,"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",2,contextual proximity
TD methods,Truncated Temporal Differences (TTD),"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",2,contextual proximity
TD(lambda),Reinforcement learning algorithms,"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",2,contextual proximity
TD(lambda),TD methods,"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",2,contextual proximity
TD(lambda),TTD,"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",2,contextual proximity
TKRS,inclusion statements,"Decidable Reasoning in Terminological Knowledge Representation Systems,Decidable Reasoning in Terminological Knowledge Representation Systems",2,contextual proximity
TTD,Arbitrary lambda,"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",2,contextual proximity
TTD,Discounted sum of rewards,"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",2,contextual proximity
TTD,Lambda,"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",2,contextual proximity
TTD,Lambda &gt 0,"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",2,contextual proximity
TTD,Multi-step prediction problems,"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",2,contextual proximity
TTD,Reinforcement learning algorithms,"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",4,contextual proximity
TTD,TD methods,"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",4,contextual proximity
TTD,TD(lambda),"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",2,contextual proximity
TTD,Temporal difference methods,"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",2,contextual proximity
TTD,Truncated Temporal Differences (TTD),"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",2,contextual proximity
Temporal difference methods,Reinforcement learning algorithms,"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",2,contextual proximity
Temporal difference methods,TD methods,"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",2,contextual proximity
Temporal difference methods,TTD,"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",2,contextual proximity
Theory revision problem,PTR,"Applying GSAT to Non-Clausal Formulas,Applying GSAT to Non-Clausal Formulas",2,contextual proximity
Theory revision problem,Ptr,"Applying GSAT to Non-Clausal Formulas,Applying GSAT to Non-Clausal Formulas",2,contextual proximity
Theory update and revision schemes,Horn approximation,"The Computational Complexity of Probabilistic Planning,The Computational Complexity of Probabilistic Planning",2,contextual proximity
Theory update and revision schemes,Minimum-change update,"The Computational Complexity of Probabilistic Planning,The Computational Complexity of Probabilistic Planning",2,contextual proximity
Toast system,agent/environment interactions,"Defining Relative Likelihood in Partially-Ordered Preferential   Structures,Defining Relative Likelihood in Partially-Ordered Preferential   Structures,Defining Relative Likelihood in Partially-Ordered Preferential   Structures,Defining Relative Likelihood in Partially-Ordered Preferential   Structures",4,contextual proximity
Toast system,computational simplification of activity,"Defining Relative Likelihood in Partially-Ordered Preferential   Structures,Defining Relative Likelihood in Partially-Ordered Preferential   Structures",2,contextual proximity
Toast system,control structures,"Defining Relative Likelihood in Partially-Ordered Preferential   Structures,Defining Relative Likelihood in Partially-Ordered Preferential   Structures",2,contextual proximity
Toast system,conventions and invariants,"Defining Relative Likelihood in Partially-Ordered Preferential   Structures,Defining Relative Likelihood in Partially-Ordered Preferential   Structures,Defining Relative Likelihood in Partially-Ordered Preferential   Structures,Defining Relative Likelihood in Partially-Ordered Preferential   Structures",4,contextual proximity
Toast system,lifeworld,"Defining Relative Likelihood in Partially-Ordered Preferential   Structures,Defining Relative Likelihood in Partially-Ordered Preferential   Structures,Defining Relative Likelihood in Partially-Ordered Preferential   Structures,Defining Relative Likelihood in Partially-Ordered Preferential   Structures,Defining Relative Likelihood in Partially-Ordered Preferential   Structures,Defining Relative Likelihood in Partially-Ordered Preferential   Structures",6,contextual proximity
Toast system,lifeworlds,"Defining Relative Likelihood in Partially-Ordered Preferential   Structures,Defining Relative Likelihood in Partially-Ordered Preferential   Structures",2,contextual proximity
Tractability,Plan-design process,"Truncating Temporal Differences: On the Efficient Implementation of   TD(lambda) for Reinforcement Learning,Truncating Temporal Differences: On the Efficient Implementation of   TD(lambda) for Reinforcement Learning",2,contextual proximity
Traditional databases,Queries,"Practical Methods for Proving Termination of General Logic Programs,Practical Methods for Proving Termination of General Logic Programs",2,contextual proximity
Tree-like subnetworks,Uniform algorithm,"Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning",3,contextual proximity
Truncated Temporal Differences (TTD),Reinforcement learning algorithms,"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",2,contextual proximity
Truncated Temporal Differences (TTD),TD methods,"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",2,contextual proximity
Truncated Temporal Differences (TTD),TTD,"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",2,contextual proximity
Unified description of imagistic problem solvers,Imagistic reasoning,"MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem",2,contextual proximity
Unified description of imagistic problem solvers,Implemented problem solver,"MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem",3,contextual proximity
Unified description of imagistic problem solvers,Spatial aggregation,"MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem",8,contextual proximity
Uniform algorithm,Activate,"Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning",3,contextual proximity
Uniform algorithm,Activate only one unit at a time,"Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning",3,contextual proximity
Uniform algorithm,Asynchronous scheduler,"Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning",3,contextual proximity
Uniform algorithm,Boltzman machines,"Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning",3,contextual proximity
Uniform algorithm,Converge to a global minimum,"Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning",3,contextual proximity
Uniform algorithm,Cycle-cutset scheme,"Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning",3,contextual proximity
Uniform algorithm,Does not assume network is tree-like,"Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning",3,contextual proximity
Uniform algorithm,Does not exist for acyclic networks,"Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning",3,contextual proximity
Uniform algorithm,Does not exist for cycles,"Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning",3,contextual proximity
Uniform algorithm,Energy minimization,"Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning",3,contextual proximity
Uniform algorithm,Even in cyclic topologies,"Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning",3,contextual proximity
Uniform algorithm,Exponential number of steps,"Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning",3,contextual proximity
Uniform algorithm,From any initial state of the system,"Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning",3,contextual proximity
Uniform algorithm,Global solution,"Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning",3,contextual proximity
Uniform algorithm,Hopfield nets,"Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning",3,contextual proximity
Uniform algorithm,Identify tree-like subnetworks,"Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning",3,contextual proximity
Uniform algorithm,Improvement to standard local activation function,"Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning",3,contextual proximity
Uniform algorithm,Improves over activate,"Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning",3,contextual proximity
Uniform algorithm,Linear time,"Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning",3,contextual proximity
Uniform algorithm,Symmetric networks,"Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning",3,contextual proximity
Uniform algorithm,Tree-like subnetworks,"Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning",3,contextual proximity
Unrestricted text,IE discourse component,"Cost-Sensitive Classification: Empirical Evaluation of a Hybrid Genetic   Decision Tree Induction Algorithm,Cost-Sensitive Classification: Empirical Evaluation of a Hybrid Genetic   Decision Tree Induction Algorithm",2,contextual proximity
Upper Horn formula,Horn approximation,"The Computational Complexity of Probabilistic Planning,The Computational Complexity of Probabilistic Planning",2,contextual proximity
Upper Horn formula,Minimum-change update,"The Computational Complexity of Probabilistic Planning,The Computational Complexity of Probabilistic Planning",2,contextual proximity
Utility of Occam's razor,Decision trees,"A Principled Approach Towards Symbolic Geometric Constraint Satisfaction,A Principled Approach Towards Symbolic Geometric Constraint Satisfaction",2,contextual proximity
Utility of Occam's razor,Decision trees produced by C4.5,"A Principled Approach Towards Symbolic Geometric Constraint Satisfaction,A Principled Approach Towards Symbolic Geometric Constraint Satisfaction",2,contextual proximity
Utility of Occam's razor,More complex decision trees,"A Principled Approach Towards Symbolic Geometric Constraint Satisfaction,A Principled Approach Towards Symbolic Geometric Constraint Satisfaction",2,contextual proximity
Utility of Occam's razor,Occam's razor,"A Principled Approach Towards Symbolic Geometric Constraint Satisfaction,A Principled Approach Towards Symbolic Geometric Constraint Satisfaction,A Principled Approach Towards Symbolic Geometric Constraint Satisfaction,A Principled Approach Towards Symbolic Geometric Constraint Satisfaction",4,contextual proximity
Utility of Occam's razor,Post-processing decision trees,"A Principled Approach Towards Symbolic Geometric Constraint Satisfaction,A Principled Approach Towards Symbolic Geometric Constraint Satisfaction",2,contextual proximity
Utility of Occam's razor,Same class,"A Principled Approach Towards Symbolic Geometric Constraint Satisfaction,A Principled Approach Towards Symbolic Geometric Constraint Satisfaction",2,contextual proximity
Utility of Occam's razor,Similar objects,"A Principled Approach Towards Symbolic Geometric Constraint Satisfaction,A Principled Approach Towards Symbolic Geometric Constraint Satisfaction",2,contextual proximity
VE algorithm,Bayesian network,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",4,contextual proximity
VE algorithm,Bayesian network inference,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",4,contextual proximity
VE algorithm,CPCS networks for medical diagnosis,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",2,contextual proximity
VE algorithm,causal independence,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",4,contextual proximity
VE algorithm,conditional probability,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",2,contextual proximity
VE algorithm,joint probability,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",2,contextual proximity
VE algorithm,variable,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",2,contextual proximity
Visual thinking,Imagistic reasoning,"MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem",2,contextual proximity
