node_1,node_2,edge,count,topic_name
multi-agent reinforcement learning,load balancing,We study the process of multi-agent reinforcement learning in the context of load balancing in a distributed system...,4,Building and Refining Abstract Planning Cases by Change of   Representation Language
distributed system,central coordination,without use of either central coordination or explicit communication...,4,Building and Refining Abstract Planning Cases by Change of   Representation Language
adaptive load balancing,stochastic nature,important features of which are its stochastic nature and the purely local information available to individual agents.,4,Building and Refining Abstract Planning Cases by Change of   Representation Language
individual agents,purely local information,available to individual agents.,4,Building and Refining Abstract Planning Cases by Change of   Representation Language
basic adaptive behavior parameters,system efficiency,"We first define a precise framework in which to study adaptive load balancing, important features of which are its stochastic nature and the purely local information available to individual agents. Given this framework, we show illuminating results on the interplay between basic adaptive behavior parameters and their effect on system efficiency.",4,Building and Refining Abstract Planning Cases by Change of   Representation Language
heterogeneous populations,adaptive load balancing,"We then investigate the properties of adaptive load balancing in heterogeneous populations,",4,Building and Refining Abstract Planning Cases by Change of   Representation Language
exploration vs. exploitation,heterogeneous populations,and address the issue of exploration vs. exploitation in that context.,4,Building and Refining Abstract Planning Cases by Change of   Representation Language
communication,naive use of communication,"Finally, we show that naive use of communication may not improve, and might even harm system efficiency.",4,Building and Refining Abstract Planning Cases by Change of   Representation Language
artificial intelligence,perfect rationality,Theoretical foundation of artificial intelligence centered around perfect rationality,4,Using Qualitative Hypotheses to Identify Inaccurate Data
intelligent systems,desired property,Intelligent systems with a desired property as per the theoretical foundation,4,Using Qualitative Hypotheses to Identify Inaccurate Data
bounded optimality,property proposed instead of perfect rationality,Bounded optimality proposed instead of perfect rationality as an alternative theoretical foundation for AI,4,Using Qualitative Hypotheses to Identify Inaccurate Data
agent,program,Agent's program is a solution to the constrained optimization problem presented by its architecture and task environment,4,Using Qualitative Hypotheses to Identify Inaccurate Data
machine architectures,construct agents with bounded optimality,Constructing agents with bounded optimality for a simple class of machine architectures in real-time environments,4,Using Qualitative Hypotheses to Identify Inaccurate Data
real-time constraints,universal ABO programs,Universal ABO programs constructed no matter what real-time constraints are applied,4,Using Qualitative Hypotheses to Identify Inaccurate Data
task environment,constrained optimization problem,Task environment presented by an agent's architecture and the constrained optimization problem it solves,4,Using Qualitative Hypotheses to Identify Inaccurate Data
classical complexity theory,asymptotic bounded optimality (ABO),Generalizing the notion of optimality in classical complexity theory through asymptotic bounded optimality,4,Using Qualitative Hypotheses to Identify Inaccurate Data
recursive constant-depth determinate clause,single k-ary recursive constant-depth determinate clause,is a special case of,4,An Integrated Framework for Learning and Reasoning
two-clause programs consisting of one learnable recursive clause and one constant-depth determinate non-recursive clause,single k-ary recursive constant-depth determinate clause,is a more complex version of,4,An Integrated Framework for Learning and Reasoning
pac-learnability,two-clause programs consisting of one learnable recursive clause and one constant-depth determinant non-recursive clause,is a learning algorithm for,4,An Integrated Framework for Learning and Reasoning
maximal generality,two-clause programs consisting of one learnable recursive clause and one constant-depth determinant non-recursive clause,is a property that makes the learning problem computationally difficult for,4,An Integrated Framework for Learning and Reasoning
programs with an unbounded number of constant-depth linear recursive clauses,cryptographically hard to learn in Valiant's model of pac-learnability,The class of programs with an unbounded number of constant-depth linear recursive clauses is cryptographically hard to learn in Valiant's model of pac-learnability.,4,Diffusion of Context and Credit Information in Markovian Models
programs with one constant-depth determinate clause containing an unbounded number of recursive calls,cryptographically hard to learn in Valiant's model of pac-learnability,The class of programs with one constant-depth determinate clause containing an unbounded number of recursive calls is cryptographically hard to learn in Valiant's model of pac-learnability.,4,Diffusion of Context and Credit Information in Markovian Models
programs with one linear recursive clause of constant locality,cryptographically hard to learn in Valiant's model of pac-learnability,The class of programs with one linear recursive clause of constant locality is cryptographically hard to learn in Valiant's model of pac-learnability.,4,Diffusion of Context and Credit Information in Markovian Models
learning a constant-depth determinate program with either two linear recursive clauses or one linear recursive clause and one non-recursive clause,as hard as learning boolean DNF,Learning a constant-depth determinate program with either two linear recursive clauses or one linear recursive clause and one non-recursive clause is as hard as learning boolean DNF.,4,Diffusion of Context and Credit Information in Markovian Models
least-commitment planners,difficult goal interactions,There has been evidence that least-commitment planners can efficiently handle planning problems involving difficult goal interactions.,4,Improving Connectionist Energy Minimization
delayed-commitment,planning strategy,The common belief is that delayed-commitment is the 'best' possible planning strategy due to evidence in handling planning problems with difficult goal interactions.,4,Improving Connectionist Energy Minimization
eager-commitment planners,planning problems,"We recently found evidence that eager-commitment planners can handle a variety of planning problems more efficiently, particularly those with difficult operator choices.",4,Improving Connectionist Energy Minimization
FLECS,planning algorithm,"Introducing this new planning algorithm, FLECS, which uses a FLExible Commitment Strategy with respect to plan-step orderings.",4,Improving Connectionist Energy Minimization
delayed-commitment,eager-commitment,FLECS can use any strategy from delayed-commitment to eager-commitment.,4,Improving Connectionist Energy Minimization
planning domains and problems,efficient planning strategies,FLECS represents a novel contribution to planning in that it explicitly provides the choice of which commitment strategy to use while planning. FLECS provides a framework to investigate the mapping from planning domains and problems to efficient planning strategies.,4,Improving Connectionist Energy Minimization
first-order decision lists,learning a new class of concepts,"The paper presents a method for inducing logic programs from examples that learns a new class of concepts called first-order decision lists, which are defined as ordered lists of clauses each ending in a cut and can be used for learning a variety of concepts. This method, called FOIDL, is based on FOIL but employs intensional background knowledge and avoids the need for explicit negative examples.",4,Learning Membership Functions in a Function-Based Object Recognition   System
FOIDL,learning a new class of concepts,"The paper presents a method for inducing logic programs from examples called FOIDL, which learns a new class of concepts called first-order decision lists. This method is particularly useful for problems that involve rules with specific exceptions and can be applied to learning a variety of concepts.",4,Learning Membership Functions in a Function-Based Object Recognition   System
first-order decision lists,intensional background knowledge,"FOIDL, the method presented in the paper for inducing logic programs from examples, employs intensional background knowledge to learn a new class of concepts called first-order decision lists.",4,Learning Membership Functions in a Function-Based Object Recognition   System
FOIDL,explicit negative examples,"The method presented in the paper for inducing logic programs from examples, FOIDL, avoids the need for explicit negative examples in learning a new class of concepts called first-order decision lists.",4,Learning Membership Functions in a Function-Based Object Recognition   System
FOIDL,symbolic/connectionist debate,"The paper describes how FOIDL, the method presented for inducing logic programs from examples, is particularly useful for problems that involve rules with specific exceptions, such as learning the past-tense of English verbs, a task widely studied in the context of the symbolic/connectionist debate.",4,Learning Membership Functions in a Function-Based Object Recognition   System
FOIDL,significantly fewer examples,"The paper reports that FOIDL is able to learn concise, accurate programs for learning the past-tense of English verbs from significantly fewer examples than previous methods (both connectionist and symbolic).",4,Learning Membership Functions in a Function-Based Object Recognition   System
ion,abstraction by dropping sentences,"In several domains, abstraction by dropping sentences has proven useful in problem solving approaches. However, this approach has significant drawbacks as illustrated in this paper. To overcome these drawbacks, a more general view of abstraction involving the change of representation language is proposed.",4,Flexibly Instructable Agents
concrete,abstract,"In the proposed new abstraction methodology and learning algorithm, planning cases can be completely changed from concrete to abstract using a new approach that allows for a powerful change in representation language. However, an admissible way of abstracting states and the abstract language itself must be provided in the domain model.",4,Flexibly Instructable Agents
Paris,classical hierarchical planning,An empirical study in the domain of process planning in mechanical engineering shows significant advantages of reasoning from abstract cases using Paris over classical hierarchical planning.,4,Flexibly Instructable Agents
identifying inaccurate data,qualitative correlations among related data,"First, we introduce the definitions of related data and qualitative correlations among related data. Then we put forward a new concept called support coefficient function (SCF). SCF can be used to extract, represent, and calculate qualitative correlations among related data within a dataset.",4,OPUS: An Efficient Admissible Algorithm for Unordered Search
identifying inaccurate data,dynamic shift intervals of inaccurate data,Both of the approaches are based on SCF. Finally we present an algorithm for identifying inaccurate data by using qualitative correlations among related data as confirmatory or disconfirmatory evidence.,4,OPUS: An Efficient Admissible Algorithm for Unordered Search
qualitative correlations among related data,conventional methods used in many similar systems,The experimental results show that the method is significantly better than the conventional methods used in many similar systems.,4,OPUS: An Efficient Admissible Algorithm for Unordered Search
identifying inaccurate data,real spectra,"We have developed a practical system for interpreting infrared spectra by applying the method, and have fully tested the system against several hundred real spectra.",4,OPUS: An Efficient Admissible Algorithm for Unordered Search
intelligence,learning,Learning is an aspect of intelligence.,4,Vision-Based Road Detection in Automotive Systems: A Real-Time   Expectation-Driven Approach
intelligence,reasoning,Reasoning is an aspect of intelligence.,4,Vision-Based Road Detection in Automotive Systems: A Real-Time   Expectation-Driven Approach
machine learning,learning,Machine learning falls under the topic of learning.,4,Vision-Based Road Detection in Automotive Systems: A Real-Time   Expectation-Driven Approach
classical AI,reasoning,Classical (or symbolic) AI studies reasoning.,4,Vision-Based Road Detection in Automotive Systems: A Real-Time   Expectation-Driven Approach
FLARE,learning,FLARE combines inductive learning with prior knowledge.,4,Vision-Based Road Detection in Automotive Systems: A Real-Time   Expectation-Driven Approach
FLARE,reasoning,FLARE combines reasoning and propositional setting.,4,Vision-Based Road Detection in Automotive Systems: A Real-Time   Expectation-Driven Approach
ergodicity,Markovian models,Markovian models with ergodic transition probability matrices are less likely to have diffusion of context and credit due to their ability to visit all possible states in the long run.,4,Generalization of Clauses under Implication
transition probability matrices,sparse or deterministic transition probability matrices,"Sparse or deterministic transition probability matrices reduce the phenomenon of diffusion of context and credit, making it easier to learn long-term context for sequential data.",4,Generalization of Clauses under Implication
learning approaches based on continuous optimization,gradient descent and the Baum-Welch algorithm,"The results found in this paper apply to learning approaches based on continuous optimization, such as gradient descent and the Baum-Welch algorithm.",4,Generalization of Clauses under Implication
Symmetric networks,Energy minimization,"Such networks are frequently investigated for use in optimization, constraint satisfaction and approximation of NP-hard problems.",4,Decision-Theoretic Foundations for Causal Reasoning
Boltzman machines,Hopfield nets,Are examples of symmetric networks designed for energy minimization.,4,Decision-Theoretic Foundations for Causal Reasoning
Global solution,Exponential number of steps,Finding a global solution in such networks may take an exponential number of steps and even a local solution is not guaranteed.,4,Decision-Theoretic Foundations for Causal Reasoning
Tree-like subnetworks,Linear time,Our proposed algorithm guarantees that a global minimum is found in linear time for tree-like subnetworks.,4,Decision-Theoretic Foundations for Causal Reasoning
Activate,Improvement to standard local activation function,We propose an improvement to the standard local activation function used for such networks.,4,Decision-Theoretic Foundations for Causal Reasoning
Uniform algorithm,Does not assume network is tree-like,"The improved algorithm, called activate, is uniform and does not assume that the network is tree-like.",4,Decision-Theoretic Foundations for Causal Reasoning
Identify tree-like subnetworks,Even in cyclic topologies,The algorithm can identify tree-like subnetworks even in cyclic topologies (arbitrary networks).,4,Decision-Theoretic Foundations for Causal Reasoning
Converge to a global minimum,From any initial state of the system,"For acyclic networks, the algorithm is guaranteed to converge to a global minimum from any initial state of the system (self-stabilization).",4,Decision-Theoretic Foundations for Causal Reasoning
Uniform algorithm,Does not exist for cycles,"In the presence of cycles, no uniform algorithm exists that guarantees optimality even under a sequential asynchronous scheduler.",4,Decision-Theoretic Foundations for Causal Reasoning
Asynchronous scheduler,Activate only one unit at a time,An asynchronous scheduler can activate only one unit at a time while a synchronous scheduler can activate any number of units in a single time step.,4,Decision-Theoretic Foundations for Causal Reasoning
Uniform algorithm,Does not exist for acyclic networks,No uniform algorithm exists to optimize even acyclic networks when the scheduler is synchronous.,4,Decision-Theoretic Foundations for Causal Reasoning
Cycle-cutset scheme,Improves over activate,"Finally, we show how the algorithm can be improved using the cycle-cutset scheme. The general algorithm, called activate-with-cutset, improves over activate and has some performance guarantees that are related to the size of the network's cycle-cutset.",4,Decision-Theoretic Foundations for Causal Reasoning
category measure,membership function,"learning component for automatically learning membership functions given a set of example objects labeled with their desired category measure in the functionality-based recognition system Gruff, called Omlet",4,Translating between Horn Representations and their Characteristic Models
low-level membership values,Gruff recognition system,combined through an and-or tree structure to give a final overall membership value,4,Translating between Horn Representations and their Characteristic Models
interactive tutorial instruction,flexible paradigm for teaching tasks,allows an instructor to communicate whatever types of knowledge an agent might need in whatever situations might arise.,4,Statistical Feature Combination for the Evaluation of Game Positions
"learning from situated, interactive tutorial instruction",agent,within an ongoing,4,Statistical Feature Combination for the Evaluation of Game Positions
situated explanation,"approach to learning from situated, interactive tutorial instruction",achieves such learning through a combination of analytic and inductive techniques.,4,Statistical Feature Combination for the Evaluation of Game Positions
Situated explanation-based learning,form of explanation-based learning,that is situated for each instruction,4,Statistical Feature Combination for the Evaluation of Game Positions
contextually guided responses to incomplete explanations,situated explanation,,4,Statistical Feature Combination for the Evaluation of Game Positions
Instructo-Soar,learning hierarchies of new tasks and other domain knowledge from interactive natural language instructions,,4,Statistical Feature Combination for the Evaluation of Game Positions
known or unknown commands,Instructo-Soar,can take at any instruction point,4,Statistical Feature Combination for the Evaluation of Game Positions
"instructions that apply to either its current situation or to a hypothetical situation specified in language (as in, for instance, conditional instructions)",Instructo-Soar,,4,Statistical Feature Combination for the Evaluation of Game Positions
learning each class of knowledge it uses to perform tasks,Interactive tutorial instruction,,4,Statistical Feature Combination for the Evaluation of Game Positions
OPUS,admissible search,"OPUS is a branch and bound search algorithm that enables efficient admissible search through spaces for which the order of search operator application is not significant. This feature makes OPUS an efficient search algorithm, particularly for very large machine learning search spaces.",4,Rule-based Machine Learning Methods for Functional Prediction
OPUS,exact learning biases,The use of admissible search in OPUS means that the exact learning biases to be employed for complex learning tasks can be precisely specified and manipulated.,4,Rule-based Machine Learning Methods for Functional Prediction
OPUS,complex learning tasks,The potential value of admissible search in OPUS lies in its ability to precisely specify and manipulate the exact learning biases required for complex learning tasks.,4,Rule-based Machine Learning Methods for Functional Prediction
OPUS,machine learning community,The efficiency of OPUS with respect to very large machine learning search spaces has potential value for the machine learning community as it allows for precisely specified and manipulated exact learning biases for complex learning tasks.,4,Rule-based Machine Learning Methods for Functional Prediction
OPUS,truth maintenance,"The potential application of OPUS in other areas of artificial intelligence, notably truth maintenance, is a result of its efficient admissible search through spaces for which the order of search operator application is not significant.",4,Rule-based Machine Learning Methods for Functional Prediction
vision-based road detection system,real-time constraints imposed by moving vehicle applications,The main aim of this work is the development of a vision-based road detection system that can cope with the difficult real-time constraints imposed by moving vehicle applications.,4,The Design and Experimental Analysis of Algorithms for Temporal   Reasoning
vision-based road detection system,difficult real-time constraints imposed by moving vehicle applications,The main aim of this work is the development of a vision-based road detection system that can cope with the difficult real-time constraints imposed by moving vehicle applications.,4,The Design and Experimental Analysis of Algorithms for Temporal   Reasoning
special-purpose massively parallel system,minimize system production and operational costs,"The hardware platform, a special-purpose massively parallel system, has been chosen to minimize system production and operational costs.",4,The Design and Experimental Analysis of Algorithms for Temporal   Reasoning
expectation-driven low-level image segmentation,massively parallel SIMD architectures capable of handling hierarchical data structures,"This paper presents a novel approach to expectation-driven low-level image segmentation, which can be mapped naturally onto mesh-connected massively parallel SIMD architectures capable of handling hierarchical data structures.",4,The Design and Experimental Analysis of Algorithms for Temporal   Reasoning
input image,multiresolution stretching process,"The input image is assumed to contain a distorted version of a given template; a multiresolution stretching process is used to reshape the original template in accordance with the acquired image content, minimizing a potential function.",4,The Design and Experimental Analysis of Algorithms for Temporal   Reasoning
original template,distorted template,The distorted template is the process output.,4,The Design and Experimental Analysis of Algorithms for Temporal   Reasoning
inductive learning,generalization,"In the area of inductive learning, generalization is a main operation",4,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences
inductive learning,logical implication,the usual definition of induction is based on logical implication,4,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences
machine learning,clausal representation of knowledge,There has been a rising interest in clausal representation of knowledge in machine learning,4,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences
recursive clauses,learning recursive clauses,is a crucial problem since recursion is the basic program structure of logic programs,4,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences
theta-subsumption,inductive learning systems,Almost all inductive learning systems that perform generalization of clauses use the relation theta-subsumption instead of implication,4,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences
implication,inductive learning systems,However generalization under theta-subsumption is inappropriate for learning recursive clauses,4,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences
T-implication,inductive learning,"We introduce a stronger form of implication, called T-implication, which is decidable between clauses",4,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences
clauses,T-implication,For every finite set of clauses there exists a least general generalization under T-implication,4,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences
expansions,induction,We describe a technique to reduce generalizations under implication of a clause to generalizations under theta-subsumption of what we call an expansion,4,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences
non-tautological clauses,T-complete expansions,"For every non-tautological clause there exists a T-complete expansion, which means that every generalization under T-implication of the clause is reduced to a generalization under theta-subsumption of the expansion",4,Well-Founded Semantics for Extended Logic Programs with Dynamic   Preferences
causal assertions,decision-theoretic primitives,"Our definition of cause and effect departs from the traditional view in that causal assertions may vary with the set of decisions available, providing added clarity to the notion of cause.",4,Logarithmic-Time Updates and Queries in Probabilistic Networks
causal relationships,directed acyclic graphs,We examine the encoding of causal relationships in directed acyclic graphs.,4,Logarithmic-Time Updates and Queries in Probabilistic Networks
canonical form,influence diagrams,"We describe a special class of influence diagrams, those in canonical form, and show its relationship to Pearl's representation of cause and effect.",4,Logarithmic-Time Updates and Queries in Probabilistic Networks
counterfactual reasoning,canonical form,"Finally, we show how canonical form facilitates counterfactual reasoning.",4,Logarithmic-Time Updates and Queries in Probabilistic Networks
Characteristic models,Horn expressions,"Alternative, model based, representation for Horn expressions. The two representations are incomparable and each has its advantages over the other, leading to translation questions between them. These questions also arise in database theory with applications to the design of relational databases.",4,Quantum Computing and Phase Transitions in Combinatorial Search
Characteristic models,Decision problem,The translation problems are equivalent to deciding whether a given set of models is the set of characteristic models for a given Horn expression.,4,Quantum Computing and Phase Transitions in Combinatorial Search
Horn expressions,Characteristic models,"Translation questions arise between these representations, and translating is equivalent to deciding whether a given set of models is the set of characteristic models for a given Horn expression.",4,Quantum Computing and Phase Transitions in Combinatorial Search
Horn expressions,Hypergraph transversal problem,"In general, our translation problems are at least as hard as the hypergraph transversal problem, which is related to other applications in AI and for which no polynomial time algorithm is known.",4,Quantum Computing and Phase Transitions in Combinatorial Search
Hypergraph transversal problem,Horn expressions,The translation problems are equivalent to the hypergraph transversal problem in a special case.,4,Quantum Computing and Phase Transitions in Combinatorial Search
logistic regression,game-tree search,"Logistic regression is applied in the context of game playing for estimating feature weights in three well-known statistical methods. This application is described in this article, where it leads to better results than other approaches like Fisher's linear discriminant and quadratic discriminant function for normally distributed features.",4,Mean Field Theory for Sigmoid Belief Networks
logistic regression,well-known statistical methods,"Logistic regression is used in this article to estimate feature weights using a large number of classified Othello positions, which falls under the category of three well-known statistical methods commonly employed in game-tree search.",4,Mean Field Theory for Sigmoid Belief Networks
Fisher's linear discriminant,game-tree search,Fisher's linear discriminant is also used in this article for estimating feature weights as part of three well-known statistical methods applied to a large number of classified Othello positions in the context of game playing.,4,Mean Field Theory for Sigmoid Belief Networks
quadratic discriminant function,game-tree search,"The quadratic discriminant function for normally distributed features is utilized as part of three well-known statistical methods to estimate feature weights using a large number of classified Othello positions in the context of game playing, as discussed in this article.",4,Mean Field Theory for Sigmoid Belief Networks
Othello,game-tree search,"Othello is used in conjunction with game-tree search and statistical methods like logistic regression, Fisher's linear discriminant, and the quadratic discriminant function for normally distributed features to estimate feature weights using a large number of classified positions.",4,Mean Field Theory for Sigmoid Belief Networks
world-class Othello program,playing strengths,The playing strengths of resulting versions of a world-class Othello program are compared by means of tournaments as described in this article.,4,Mean Field Theory for Sigmoid Belief Networks
machine learning method,predicting the value of a real-valued function,A machine learning method is used to predict the value of a real-valued function.,4,Improved Use of Continuous Attributes in C4.5
machine learning method,multiple input variables,A machine learning method is applied to multiple input variables to predict the value of a real-valued function.,4,Improved Use of Continuous Attributes in C4.5
ordered disjunctive normal form (DNF),induced solutions,Induced solutions are presented in the form of ordered disjunctive normal form (DNF).,4,Improved Use of Continuous Attributes in C4.5
"compact, easily interpretable solutions",induction method,The new induction method aims to induce compact and easily interpretable solutions.,4,Improved Use of Continuous Attributes in C4.5
ordered disjunctive normal form (DNF),rule-based decision model,The induced solutions in the form of ordered disjunctive normal form (DNF) contribute to the rule-based decision model.,4,Improved Use of Continuous Attributes in C4.5
similar cases,search for similar cases,The new technique can be extended to search efficiently for similar cases prior to approximating function values.,4,Improved Use of Continuous Attributes in C4.5
temporal reasoning system,Allen's interval-based framework for representing temporal information,based on,4,Active Learning with Statistical Models
applications,temporal reasoning component,rely heavily on,4,Active Learning with Statistical Models
problems in molecular biology,temporal reasoning component,rely heavily on,4,Active Learning with Statistical Models
path consistency algorithm,algorithms for determining whether the temporal information is consistent,part of,4,Active Learning with Statistical Models
backtracking algorithm,algorithms for determining whether the temporal information is consistent,part of,4,Active Learning with Statistical Models
path consistency algorithm,highly optimized implementation,develop techniques that can result in up to a ten-fold speedup over,4,Active Learning with Statistical Models
backtracking algorithm,empirical analysis,develop variable and value ordering heuristics that are shown empirically to dramatically improve the performance of the algorithm,4,Active Learning with Statistical Models
backtracking search problem,previously suggested reformulation,can reduce the time and space requirements of the backtracking search,4,Active Learning with Statistical Models
well-founded semantics,preferences between rules,"In this extension of well-founded semantics for logic programs with two types of negation, information about preferences between rules can be expressed in the logical language and derived dynamically using a reserved predicate symbol and a naming technique. Conflicts among rules are resolved whenever possible on the basis of derived preference information.",4,A Divergence Critic for Inductive Proof
logic programs,two types of negation,This extension is for logic programs with two types of negation.,4,A Divergence Critic for Inductive Proof
well-founded conclusions,prioritized logic programs,The well-founded conclusions of prioritized logic programs can be computed in polynomial time.,4,A Divergence Critic for Inductive Proof
legal reasoning example,usefulness of the approach,A legal reasoning example illustrates the usefulness of the approach.,4,A Divergence Critic for Inductive Proof
Traditional databases,Dynamic reasoning in probabilistic databases,Our goal is to take a first step toward dynamic reasoning in probabilistic databases with comparable efficiency as traditional databases commonly support efficient query and update procedures that operate in time which is sublinear in the size of the database.,4,Practical Methods for Proving Termination of General Logic Programs
Singly connected Bayesian networks,Dynamic data structure,We propose a dynamic data structure that supports efficient algorithms for updating and querying singly connected Bayesian networks.,4,Practical Methods for Proving Termination of General Logic Programs
O(1) time,New evidence absorption,"In the conventional algorithm, new evidence is absorbed in O(1) time.",4,Practical Methods for Proving Termination of General Logic Programs
O(N),Queries,"Queries are processed in time O(N), where N is the size of the network.",4,Practical Methods for Proving Termination of General Logic Programs
Log N time,Queries,"We propose an algorithm which, after a preprocessing phase, allows us to answer queries in time O(log N) at the expense of O(log N) time per evidence absorption.",4,Practical Methods for Proving Termination of General Logic Programs
Real-time response,Large probabilistic databases,The usefulness of sub-linear processing time manifests itself in applications requiring (near) real-time response over large probabilistic databases.,4,Practical Methods for Proving Termination of General Logic Programs
Computational biology,Dynamic probabilistic reasoning,We briefly discuss a potential application of dynamic probabilistic reasoning in computational biology.,4,Practical Methods for Proving Termination of General Logic Programs
combinatorial search,quantum computers,"introduce an algorithm for combinatorial search on quantum computers that is capable of significantly concentrating amplitude into solutions for some NP search problems, on average.",4,Iterative Optimization and Simplification of Hierarchical Clusterings
quantum parallelism,unproductive search choices,exploiting the same aspects of problem structure as used by classical backtrack methods to avoid,4,Iterative Optimization and Simplification of Hierarchical Clusterings
difficult problem instances,underconstrained/overconstrained problems,"displaying the same phase transition behavior, and at the same location, as seen in many previously studied classical search methods.",4,Iterative Optimization and Simplification of Hierarchical Clusterings
quantum algorithm,classical backtrack methods,exploiting the same aspects of problem structure as used by classical backtrack methods to avoid unproductive search choices.,4,Iterative Optimization and Simplification of Hierarchical Clusterings
mean field theory,sigmoid belief networks,"Our mean field theory is developed specifically for sigmoid belief networks, providing a tractable approximation to the true probability distribution in these networks.",4,Further Experimental Evidence against the Utility of Occam's Razor
mean field theory,tractable approximation,"Our mean field theory provides a tractable approximation to the true probability distribution in sigmoid belief networks, allowing for more efficient and scalable computation.",4,Further Experimental Evidence against the Utility of Occam's Razor
mean field theory,likelihood of evidence,"In addition to providing a tractable approximation, our mean field theory also yields a lower bound on the likelihood of evidence in sigmoid belief networks.",4,Further Experimental Evidence against the Utility of Occam's Razor
sigmoid belief networks,classification of handwritten digits,"We demonstrate the utility of our mean field theory framework for the classification of handwritten digits, a benchmark problem in statistical pattern recognition.",4,Further Experimental Evidence against the Utility of Occam's Razor
C4.5,Modifications to address weakness in continuous attribute domains,A reported weakness of C4.5 in domains with continuous attributes is addressed by modifying the formation and evaluation of tests on continuous attributes.,4,Least Generalizations and Greatest Specializations of Sets of Clauses
Smaller decision trees,Empirical trials show that the modifications lead to smaller decision trees,,4,Least Generalizations and Greatest Specializations of Sets of Clauses
Higher predictive accuracies,Empirical trials show that the modifications lead to smaller decision trees with higher predictive accuracies.,,4,Least Generalizations and Greatest Specializations of Sets of Clauses
New version of C4.5,Results also confirm that a new version of C4.5 incorporating these changes is superior to recent approaches that use global discretization and that construct small trees with multi-interval splits.,,4,Least Generalizations and Greatest Specializations of Sets of Clauses
Continuous attribute domains,A reported weakness of C4.5 in domains with continuous attributes,,4,Least Generalizations and Greatest Specializations of Sets of Clauses
Tests on continuous attributes,"The modifications apply an MDL-inspired penalty to such tests, eliminating some of them from consideration and altering the relative desirability of all tests.",,4,Least Generalizations and Greatest Specializations of Sets of Clauses
machine learning algorithms,optimal way to select training data,"For many types of machine learning algorithms, one can compute the statistically optimal way to select training data.",4,Reinforcement Learning: A Survey
feedforward neural networks,statistically optimal way to select training data,Optimal data selection techniques have been used with feedforward neural networks.,4,Reinforcement Learning: A Survey
mixtures of Gaussians,statistically optimal way to select training data,The same principles may be used to select data for mixtures of Gaussians.,4,Reinforcement Learning: A Survey
locally weighted regression,statistically optimal way to select training data,The same principles may be used to select data for locally weighted regression.,4,Reinforcement Learning: A Survey
efficient and accurate,mixtures of Gaussians and locally weighted regression,The techniques for mixtures of Gaussians and locally weighted regression are both efficient and accurate.,4,Reinforcement Learning: A Survey
good performance,optimal data selection techniques,"Empirically, we observe that the optimality criterion sharply decreases the number of training examples the learner needs in order to achieve good performance.",4,Reinforcement Learning: A Survey
diverging proof attempts,Inductive theorem provers,often,4,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study
computer program,critic,describes,4,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study
proof attempt,diverging proof attempts,is,4,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study
computer program,critic,monitors,4,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study
proof attempt,difference matching,recognizes,4,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study
computer program,critic,proposes,4,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study
lemmas,critic,proposes,4,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study
generalizations,critic,proposes,4,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study
differences,proof attempt,ripples,4,Adaptive Problem-solving for Large-scale Scheduling Problems: A Case   Study
termination of general logic programs,computational mechanisms used to process negated atoms,"Many computational mechanisms for processing negated atoms, such as Clark's negation as failure and Chan's constructive negation, are based on termination conditions.",4,A Formal Framework for Speedup Learning from Problems and Solutions
termination of general logic programs,Prolog selection rule,The methodology for proving termination of general logic programs is introduced in relation to the Prolog selection rule.,4,A Formal Framework for Speedup Learning from Problems and Solutions
low-acceptable program,up-acceptable program,"The notions of low-, weakly up-, and up-acceptable programs are introduced to distinguish parts of the program based on whether or not their termination depends on the selection rule.",4,A Formal Framework for Speedup Learning from Problems and Solutions
termination of general logic programs,non-monotonic reasoning,The methodology for proving termination of general logic programs is applied to formalize and implement interesting problems in non-monotonic reasoning.,4,A Formal Framework for Speedup Learning from Problems and Solutions
Clustering,Structure in data,Clustering is often used for discovering structure in data.,4,2Planning for Contingencies: A Decision-based Approach
Quality of clustering,Evaluation objective function,"Ideally, the search strategy should consistently construct clusterings of high quality, but be computationally inexpensive as well. In general, we cannot have it both ways, but we can partition the search so that a system inexpensively constructs a `tentative' clustering for initial examination, followed by iterative optimization, which continues to search in background for improved clusterings.",4,2Planning for Contingencies: A Decision-based Approach
